"","adsh","cik","name","sic","countryba","stprba","cityba","zipba","bas1","bas2","baph","countryma","stprma","cityma","zipma","mas1","mas2","countryinc","stprinc","ein","former","changed","afs","wksi","fye","form","period","fy","fp","filed","accepted","prevrpt","detail","instance","nciks","aciks","Quarter_Year"
"129","0001193125-20-102556",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"8-K",2020-03-31,NA,"",2020-04-09,2020-04-09 16:02:00,0,0,"d915582d8k_htm.xml",1,"","Q1_2020"
"130","0001050797-20-000021",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2020-03-31,NA,"",2020-04-16,2020-04-16 16:07:00,0,0,"colm-20200415_htm.xml",1,"","Q1_2020"
"131","0001564590-20-018197",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"8-K",2020-04-30,NA,"",2020-04-23,2020-04-23 16:11:00,0,0,"skx-8k_20200423_htm.xml",1,"","Q2_2020"
"132","0001616318-20-000057",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",0,331,"8-K",2020-04-30,NA,"",2020-04-27,2020-04-27 07:10:00,0,0,"april272020officerappo_htm.xml",1,"","Q2_2020"
"133","0001193125-20-126433",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-04-30,NA,"",2020-04-29,2020-04-29 17:00:00,0,0,"d918147d8k_htm.xml",1,"","Q2_2020"
"134","0001050797-20-000028",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2020-04-30,NA,"",2020-04-30,2020-04-30 16:06:00,0,0,"colm-20200430_htm.xml",1,"","Q2_2020"
"135","0001193125-20-128975",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-04-30,NA,"",2020-04-30,2020-04-30 17:13:00,0,0,"d867203d8k_htm.xml",1,"","Q2_2020"
"136","0001359841-20-000049",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-04-30,NA,"",2020-04-30,2020-04-30 06:32:00,0,0,"hbi-20200328x8k_htm.xml",1,"","Q2_2020"
"137","0001359841-20-000050",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"10-Q",2020-03-31,2020,"Q1",2020-04-30,2020-04-30 06:38:00,0,1,"hbi-20200328x10q_htm.xml",1,"","Q1_2020"
"138","0001193125-20-132306",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-04-30,NA,"",2020-05-04,2020-05-04 15:38:00,0,0,"d924576d8k_htm.xml",1,"","Q2_2020"
"139","0001140361-20-010697",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-Q",2020-03-31,2020,"Q2",2020-05-05,2020-05-05 14:23:00,0,1,"jout-20200327.xml",1,"","Q1_2020"
"140","0001616318-20-000063",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",0,331,"8-K",2020-04-30,NA,"",2020-05-05,2020-05-05 17:08:00,0,0,"a2020maydirectorappoin_htm.xml",1,"","Q2_2020"
"141","0001050797-20-000031",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"10-Q",2020-03-31,2020,"Q1",2020-05-07,2020-05-07 16:19:00,0,1,"colm-20200331_htm.xml",1,"","Q1_2020"
"142","0001193125-20-136285",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-04-30,NA,"",2020-05-07,2020-05-07 16:18:00,0,0,"d925939d8k_htm.xml",1,"","Q2_2020"
"143","0001616318-20-000066",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",0,331,"8-K",2020-04-30,NA,"",2020-05-07,2020-05-07 07:03:00,0,0,"vsto-3312020x8xk_htm.xml",1,"","Q2_2020"
"144","0001564590-20-023437",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"10-Q",2020-03-31,2020,"Q1",2020-05-08,2020-05-08 14:02:00,0,1,"skx-10q_20200331_htm.xml",1,"","Q1_2020"
"145","0001564590-20-026882",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"8-K",2020-05-31,NA,"",2020-05-26,2020-05-26 17:11:00,0,0,"skx-8k_20200521_htm.xml",1,"","Q2_2020"
"146","0001616318-20-000081",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"2-ACC",1,331,"10-K",2020-03-31,2019,"FY",2020-06-03,2020-06-03 17:22:00,0,1,"vsto-3312020x10xk_htm.xml",1,"","Q1_2020"
"147","0001690511-20-000011",1690511,"CANADA GOOSE HOLDINGS INC.",2300,"CA","ON","TORONTO","M6E 4Y2","250 BOWIE AVENUE","","416-780-9850","CA","ON","TORONTO","M6E 4Y2","250 BOWIE AVENUE","","CA","BC",0,"CANADA GOOSE HOLDINGS, INC.",20161118,"1-LAF",1,331,"20-F",2020-03-31,2019,"FY",2020-06-03,2020-06-03 08:31:00,0,1,"goos-20200329.xml",1,"","Q1_2020"
"148","0001050797-20-000040",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2020-05-31,NA,"",2020-06-04,2020-06-04 17:09:00,0,0,"colm-20200603_htm.xml",1,"","Q2_2020"
"149","0001193125-20-164240",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-05-31,NA,"",2020-06-09,2020-06-09 08:06:00,0,0,"d941799d8k_htm.xml",1,"","Q2_2020"
"150","0001050797-20-000044",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2020-06-30,NA,"",2020-07-14,2020-07-14 16:06:00,0,0,"colm-20200710_htm.xml",1,"","Q2_2020"
"151","0001564590-20-033251",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"8-K",2020-07-31,NA,"",2020-07-23,2020-07-23 16:10:00,0,0,"skx-8k_20200723_htm.xml",1,"","Q3_2020"
"152","0001050797-20-000047",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2020-07-31,NA,"",2020-07-30,2020-07-30 18:39:00,0,0,"colm-20200730_htm.xml",1,"","Q3_2020"
"153","0001359841-20-000067",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-07-31,NA,"",2020-07-30,2020-07-30 06:48:00,0,0,"hbi-20200627x8k_htm.xml",1,"","Q3_2020"
"154","0001140361-20-017136",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-Q",2020-06-30,2020,"Q3",2020-07-31,2020-07-31 14:51:00,0,1,"jout626202010q_htm.xml",1,"","Q2_2020"
"155","0001359841-20-000072",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"10-Q",2020-06-30,2020,"Q2",2020-07-31,2020-07-30 20:07:00,0,1,"hbi-20200627x10q_htm.xml",1,"","Q2_2020"
"156","0001193125-20-209330",1808997,"AMERICAN OUTDOOR BRANDS, INC.",3480,"US","MO","COLUMBIA","65202","1800 NORTH ROUTE Z","","(800) 338-9585","US","MO","COLUMBIA","65202","1800 NORTH ROUTE Z","","US","DE",844630928,"AMERICAN OUTDOOR BRANDS,INC.",20200602,"",0,430,"8-K",2020-07-31,NA,"",2020-08-04,2020-08-04 16:22:00,0,0,"d87365d8k_htm.xml",1,"","Q3_2020"
"157","0001050797-20-000051",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"10-Q",2020-06-30,2020,"Q2",2020-08-06,2020-08-06 16:05:00,0,1,"colm-20200630_htm.xml",1,"","Q2_2020"
"158","0001616318-20-000103",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"2-ACC",0,331,"8-K",2020-07-31,NA,"",2020-08-06,2020-08-06 07:03:00,0,0,"vsto-06282020x8xk_htm.xml",1,"","Q3_2020"
"159","0001616318-20-000123",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"2-ACC",0,331,"10-Q",2020-06-30,2021,"Q1",2020-08-06,2020-08-06 16:51:00,0,1,"vsto-0628202010q_htm.xml",1,"","Q2_2020"
"160","0001564590-20-038338",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"10-Q",2020-06-30,2020,"Q2",2020-08-07,2020-08-07 15:30:00,0,1,"skx-10q_20200630_htm.xml",1,"","Q2_2020"
"161","0001616318-20-000128",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"2-ACC",0,331,"8-K",2020-07-31,NA,"",2020-08-07,2020-08-07 17:32:00,0,0,"a2020annualmeetingform_htm.xml",1,"","Q3_2020"
"162","0001193125-20-214964",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-07-31,NA,"",2020-08-10,2020-08-10 16:30:00,0,0,"d65220d8k_htm.xml",1,"","Q3_2020"
"163","0001193125-20-231332",1808997,"AMERICAN OUTDOOR BRANDS, INC.",3480,"US","MO","COLUMBIA","65202","1800 NORTH ROUTE Z","","(800) 338-9585","US","MO","COLUMBIA","65202","1800 NORTH ROUTE Z","","US","DE",844630928,"AMERICAN OUTDOOR BRANDS,INC.",20200602,"",0,430,"8-K",2020-08-31,NA,"",2020-08-26,2020-08-26 16:39:00,0,0,"d68323d8k_htm.xml",1,"","Q3_2020"
"164","0001564590-20-042518",1808997,"AMERICAN OUTDOOR BRANDS, INC.",3480,"US","MO","COLUMBIA","65202","1800 NORTH ROUTE Z","","(800) 338-9585","US","MO","COLUMBIA","65202","1800 NORTH ROUTE Z","","US","DE",844630928,"AMERICAN OUTDOOR BRANDS,INC.",20200602,"",0,430,"8-K",2020-08-31,NA,"",2020-09-03,2020-09-03 16:16:00,0,0,"aout-8k_20200903_htm.xml",1,"","Q3_2020"
"165","0001564590-20-043148",1808997,"AMERICAN OUTDOOR BRANDS, INC.",3480,"US","MO","COLUMBIA","65202","1800 NORTH ROUTE Z","","(800) 338-9585","US","MO","COLUMBIA","65202","1800 NORTH ROUTE Z","","US","DE",844630928,"AMERICAN OUTDOOR BRANDS,INC.",20200602,"4-NON",0,430,"10-Q",2020-07-31,2021,"Q1",2020-09-10,2020-09-10 16:32:00,0,1,"aout-10q_20200731_htm.xml",1,"","Q3_2020"
"166","0001171843-20-006653",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"8-K",2020-09-30,NA,"",2020-09-25,2020-09-25 07:00:00,0,0,"f8k_092420_htm.xml",1,"","Q3_2020"
"167","0001616318-20-000136",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"2-ACC",0,331,"8-K",2020-09-30,NA,"",2020-09-28,2020-09-28 07:12:00,0,0,"vsto-20200928_htm.xml",1,"","Q3_2020"
"168","0001616318-20-000138",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"2-ACC",0,331,"8-K",2020-09-30,NA,"",2020-10-13,2020-10-13 07:08:00,0,0,"vsto-20201013_htm.xml",1,"","Q3_2020"
"169","0001050797-20-000060",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2020-10-31,NA,"",2020-10-29,2020-10-29 16:06:00,0,0,"colm-20201029_htm.xml",1,"","Q4_2020"
"170","0001050797-20-000061",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2020-10-31,NA,"",2020-10-29,2020-10-29 16:10:00,0,0,"colm-20201027_htm.xml",1,"","Q4_2020"
"171","0001564590-20-048856",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"8-K",2020-10-31,NA,"",2020-10-29,2020-10-29 16:11:00,0,0,"skx-8k_20201029_htm.xml",1,"","Q4_2020"
"172","0001050797-20-000063",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"10-Q",2020-09-30,2020,"Q3",2020-11-05,2020-11-05 16:21:00,0,1,"colm-20200930_htm.xml",1,"","Q3_2020"
"173","0001359841-20-000094",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-10-31,NA,"",2020-11-05,2020-11-05 06:33:00,0,0,"hbi-20201105_htm.xml",1,"","Q4_2020"
"174","0001359841-20-000097",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"10-Q",2020-09-30,2020,"Q3",2020-11-05,2020-11-05 12:24:00,0,1,"hbi-20200926_htm.xml",1,"","Q3_2020"
"175","0001616318-20-000146",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"2-ACC",0,331,"8-K",2020-10-31,NA,"",2020-11-05,2020-11-05 07:11:00,0,0,"vsto-20201105_htm.xml",1,"","Q4_2020"
"176","0001616318-20-000148",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"2-ACC",0,331,"10-Q",2020-09-30,2021,"Q2",2020-11-05,2020-11-05 16:15:00,0,1,"vsto-20200927_htm.xml",1,"","Q3_2020"
"177","0001564590-20-051954",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"10-Q",2020-09-30,2020,"Q3",2020-11-06,2020-11-06 16:02:00,0,1,"skx-10q_20200930_htm.xml",1,"","Q3_2020"
"178","0001193125-20-289672",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-10-31,NA,"",2020-11-10,2020-11-10 08:06:00,0,0,"d853299d8k_htm.xml",1,"","Q4_2020"
"179","0001193125-20-313824",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-11-30,NA,"",2020-12-09,2020-12-09 16:18:00,0,0,"d61745d8k_htm.xml",1,"","Q4_2020"
"180","0001171843-20-008489",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"8-K",2020-11-30,NA,"",2020-12-10,2020-12-10 06:30:00,0,0,"f8k_120920_htm.xml",1,"","Q4_2020"
"181","0001817358-20-000012",1817358,"ACADEMY SPORTS & OUTDOORS, INC.",5940,"US","TX","KATY","77449","1800 NORTH MASON ROAD","","(281) 646-5200","US","TX","KATY","77449","1800 NORTH MASON ROAD","","US","DE",851800912,"",NA,"4-NON",0,131,"10-Q",2020-10-31,2020,"Q3",2020-12-10,2020-12-10 16:11:00,0,1,"aso-20201031_htm.xml",1,"","Q4_2020"
"182","0001140361-20-028143",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-K",2020-09-30,2020,"FY",2020-12-11,2020-12-11 14:43:00,0,1,"jout-20201002_htm.xml",1,"","Q3_2020"
"183","0001171843-20-008512",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"8-K",2020-11-30,NA,"",2020-12-11,2020-12-11 07:51:00,0,0,"f8k_121120_htm.xml",1,"","Q4_2020"
"184","0001564590-20-057146",1808997,"AMERICAN OUTDOOR BRANDS, INC.",3480,"US","MO","COLUMBIA","65202","1800 NORTH ROUTE Z","","(800) 338-9585","US","MO","COLUMBIA","65202","1800 NORTH ROUTE Z","","US","DE",844630928,"AMERICAN OUTDOOR BRANDS,INC.",20200602,"4-NON",0,430,"8-K",2020-11-30,NA,"",2020-12-15,2020-12-15 16:06:00,0,0,"aout-8k_20201215_htm.xml",1,"","Q4_2020"
"185","0001564590-20-057157",1808997,"AMERICAN OUTDOOR BRANDS, INC.",3480,"US","MO","COLUMBIA","65202","1800 NORTH ROUTE Z","","(800) 338-9585","US","MO","COLUMBIA","65202","1800 NORTH ROUTE Z","","US","DE",844630928,"AMERICAN OUTDOOR BRANDS,INC.",20200602,"4-NON",0,430,"10-Q",2020-10-31,2021,"Q2",2020-12-15,2020-12-15 16:16:00,0,1,"aout-10q_20201031_htm.xml",1,"","Q4_2020"
"186","0000950157-21-000160",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"2-ACC",0,331,"8-K",2021-01-31,NA,"",2021-02-10,2021-02-10 17:08:00,0,0,"form8-k_htm.xml",1,"","Q1_2021"
"187","0000950157-21-000192",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"2-ACC",0,331,"8-K",2021-02-28,NA,"",2021-02-16,2021-02-16 08:35:00,0,0,"form8-k_htm.xml",1,"","Q1_2021"
"188","0000950157-21-000208",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"2-ACC",0,331,"8-K",2021-02-28,NA,"",2021-02-18,2021-02-18 07:49:00,0,0,"form8k_htm.xml",1,"","Q1_2021"
"189","0000950157-21-000282",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"2-ACC",0,331,"8-K",2021-02-28,NA,"",2021-03-03,2021-03-03 16:24:00,0,0,"form8-k_htm.xml",1,"","Q1_2021"
"190","0001050797-21-000004",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2020-12-31,NA,"",2021-01-04,2021-01-04 17:24:00,0,0,"colm-20201230_htm.xml",1,"","Q4_2020"
"191","0001050797-21-000007",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2020-12-31,NA,"",2021-01-06,2021-01-06 16:05:00,0,0,"colm-20210105_htm.xml",1,"","Q4_2020"
"192","0001050797-21-000010",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2021-01-31,NA,"",2021-02-04,2021-02-04 16:06:00,0,0,"colm-20210204_htm.xml",1,"","Q1_2021"
"193","0001050797-21-000014",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",1,1231,"10-K",2020-12-31,2020,"FY",2021-02-25,2021-02-25 16:21:00,0,1,"colm-20201231_htm.xml",1,"","Q4_2020"
